heldout_family,view_request,model,score_method,boundary_date,n_train,n_val,n_known_test,n_unknown_test,closed_known_accuracy,closed_known_macro_f1,open_set_accuracy,open_set_macro_f1,known_acceptance_rate,unknown_rejection_rate,unknown_detection_auroc,unknown_detection_auprc
emotet,api_tfidf,sgd,margin,2019-08-23,24874,2763,6910,3524,0.9768,0.9448,0.9638,0.9456,0.9632,0.9781,0.9849,0.9515
harhar,api_tfidf,sgd,margin,2019-09-10,34791,3865,9665,69,0.9556,0.8902,0.9202,0.8704,0.9246,0.9855,0.9788,0.2547
lokibot,api_tfidf,sgd,margin,2019-09-16,32246,3582,8957,457,0.9633,0.9309,0.8749,0.8777,0.8763,0.8775,0.9419,0.3581
njrat,api_tfidf,sgd,margin,2019-09-14,32835,3648,9121,349,0.9594,0.9025,0.8778,0.8728,0.8817,0.7908,0.9263,0.2012
qakbot,api_tfidf,sgd,margin,2019-09-20,31738,3526,8817,315,0.9549,0.918,0.9111,0.857,0.9317,0.5714,0.9517,0.3241
swisyn,api_tfidf,sgd,margin,2019-07-30,26198,2910,7277,4305,0.9307,0.8875,0.5772,0.7884,0.9188,0.0307,0.8166,0.5826
trickbot,api_tfidf,sgd,margin,2019-09-02,32238,3581,8955,1124,0.9581,0.8925,0.8893,0.8892,0.9253,0.6486,0.9295,0.6525
ursnif,api_tfidf,sgd,margin,2019-09-03,34296,3810,9527,489,0.9557,0.9198,0.9109,0.8988,0.9147,0.9346,0.9593,0.419
zeus,api_tfidf,sgd,margin,2019-09-16,33395,3710,9277,126,0.9551,0.9171,0.918,0.8898,0.9253,0.8571,0.9638,0.2534
emotet,api_tfidf,sgd,max_prob,2019-08-23,24874,2763,6910,3524,0.9768,0.9448,0.9661,0.9503,0.9608,0.9898,0.991,0.9601
harhar,api_tfidf,sgd,max_prob,2019-09-10,34791,3865,9665,69,0.9556,0.8902,0.9175,0.8682,0.9216,0.9855,0.9807,0.2204
lokibot,api_tfidf,sgd,max_prob,2019-09-16,32246,3582,8957,457,0.9633,0.9309,0.8857,0.8857,0.888,0.8775,0.9377,0.2803
njrat,api_tfidf,sgd,max_prob,2019-09-14,32835,3648,9121,349,0.9594,0.9025,0.8872,0.8855,0.8859,0.9312,0.9343,0.2137
qakbot,api_tfidf,sgd,max_prob,2019-09-20,31738,3526,8817,315,0.9549,0.918,0.92,0.9046,0.9215,1.0,0.9474,0.228
swisyn,api_tfidf,sgd,max_prob,2019-07-30,26198,2910,7277,4305,0.9307,0.8875,0.5755,0.7859,0.9222,0.0225,0.8263,0.5917
trickbot,api_tfidf,sgd,max_prob,2019-09-02,32238,3581,8955,1124,0.9581,0.8925,0.8936,0.9102,0.9219,0.7028,0.927,0.5963
ursnif,api_tfidf,sgd,max_prob,2019-09-03,34296,3810,9527,489,0.9557,0.9198,0.9211,0.9114,0.922,0.9939,0.9688,0.4391
zeus,api_tfidf,sgd,max_prob,2019-09-16,33395,3710,9277,126,0.9551,0.9171,0.9232,0.8977,0.9268,0.9524,0.9691,0.2149
