heldout_family,view_request,score_method,threshold,val_mean_score,val_min_score,val_max_score,target_known_retention
emotet,api_tfidf,margin,0.274324,0.860485,0.000621,0.984743,0.95
harhar,api_tfidf,margin,0.274808,0.850255,0.001915,0.987905,0.95
lokibot,api_tfidf,margin,0.497988,0.878315,0.009445,0.989378,0.95
njrat,api_tfidf,margin,0.470599,0.879883,0.000588,0.988196,0.95
qakbot,api_tfidf,margin,0.194514,0.849926,0.002584,0.989383,0.95
swisyn,api_tfidf,margin,0.152729,0.738828,0.002351,0.989441,0.95
trickbot,api_tfidf,margin,0.285764,0.882658,0.000766,0.988163,0.95
ursnif,api_tfidf,margin,0.298448,0.854357,0.003017,0.988217,0.95
zeus,api_tfidf,margin,0.301385,0.858613,8.3e-05,0.988044,0.95
emotet,api_tfidf,max_prob,0.519051,0.899773,0.195657,0.988077,0.95
harhar,api_tfidf,max_prob,0.522492,0.891219,0.183167,0.990719,0.95
lokibot,api_tfidf,max_prob,0.654204,0.910357,0.190955,0.991818,0.95
njrat,api_tfidf,max_prob,0.647469,0.910087,0.194124,0.991343,0.95
qakbot,api_tfidf,max_prob,0.513757,0.893633,0.187615,0.99193,0.95
swisyn,api_tfidf,max_prob,0.377504,0.804175,0.18141,0.991669,0.95
trickbot,api_tfidf,max_prob,0.505506,0.91717,0.199546,0.990967,0.95
ursnif,api_tfidf,max_prob,0.534691,0.895667,0.201532,0.990998,0.95
zeus,api_tfidf,max_prob,0.548602,0.901303,0.184364,0.990759,0.95
emotet,fusion,margin,0.440749,0.89615,0.000124,0.999628,0.95
harhar,fusion,margin,0.44655,0.901412,0.0,0.996202,0.95
lokibot,fusion,margin,0.668755,0.919133,0.012679,0.999384,0.95
njrat,fusion,margin,0.718907,0.920579,0.000484,1.0,0.95
qakbot,fusion,margin,0.382014,0.895759,0.0,0.99577,0.95
swisyn,fusion,margin,0.057053,0.772041,0.000666,0.999679,0.95
trickbot,fusion,margin,0.499548,0.925962,0.001052,0.999993,0.95
ursnif,fusion,margin,0.506247,0.902441,0.000737,0.998356,0.95
zeus,fusion,margin,0.51632,0.910992,0.007297,0.999885,0.95
emotet,fusion,max_prob,0.674036,0.930093,0.304759,0.999814,0.95
harhar,fusion,max_prob,0.669322,0.9321,0.246505,0.997342,0.95
lokibot,fusion,max_prob,0.779051,0.945055,0.315215,0.999692,0.95
njrat,fusion,max_prob,0.814772,0.944909,0.251193,1.0,0.95
qakbot,fusion,max_prob,0.659078,0.929006,0.271706,0.996528,0.95
swisyn,fusion,max_prob,0.324516,0.838508,0.185835,0.999776,0.95
trickbot,fusion,max_prob,0.698649,0.951848,0.284966,0.999997,0.95
ursnif,fusion,max_prob,0.688612,0.934484,0.262715,0.998897,0.95
zeus,fusion,max_prob,0.722283,0.941171,0.278263,0.999941,0.95
