boundary,family,support,precision,recall,f1
2018-06-01,adload,0,0,0,0
2018-06-01,emotet,468,0.9011235955,0.8568376068,0.878422782
2018-06-01,harhar,0,0,0,0
2018-06-01,lokibot,131,0.9153846154,0.9083969466,0.9118773946
2018-06-01,njrat,141,0.5541125541,0.9078014184,0.688172043
2018-06-01,qakbot,126,1,1,1
2018-06-01,swisyn,332,0.9589442815,0.984939759,0.9717682021
2018-06-01,trickbot,112,0.9117647059,0.2767857143,0.4246575342
2018-06-01,ursnif,137,0.8823529412,0.8759124088,0.8791208791
2018-06-01,zeus,72,0.75,0.7916666667,0.7702702703
2018-07-01,adload,25,0.8571428571,0.72,0.7826086957
2018-07-01,emotet,275,0.8444444444,0.9672727273,0.9016949153
2018-07-01,harhar,0,0,0,0
2018-07-01,lokibot,174,0.9018404908,0.8448275862,0.8724035608
2018-07-01,njrat,140,0.6818181818,0.6428571429,0.6617647059
2018-07-01,qakbot,43,0.9545454545,0.976744186,0.9655172414
2018-07-01,swisyn,327,0.9604863222,0.9663608563,0.9634146341
2018-07-01,trickbot,68,1,0.3088235294,0.4719101124
2018-07-01,ursnif,71,0.9166666667,0.9295774648,0.9230769231
2018-07-01,zeus,100,0.7063492063,0.89,0.7876106195
2018-07-31,adload,0,0,0,0
2018-07-31,emotet,379,0.9267676768,0.9683377309,0.9470967742
2018-07-31,harhar,0,0,0,0
2018-07-31,lokibot,85,0.8765432099,0.8352941176,0.8554216867
2018-07-31,njrat,104,0.6896551724,0.7692307692,0.7272727273
2018-07-31,qakbot,82,0.9425287356,1,0.9704142012
2018-07-31,swisyn,306,0.9707792208,0.977124183,0.9739413681
2018-07-31,trickbot,77,0.7857142857,0.4285714286,0.5546218487
2018-07-31,ursnif,12,0.6875,0.9166666667,0.7857142857
2018-07-31,zeus,129,0.78125,0.7751937984,0.7782101167
2018-08-30,adload,0,0,0,0
2018-08-30,emotet,590,0.9694915254,0.9694915254,0.9694915254
2018-08-30,harhar,4,0,0,0
2018-08-30,lokibot,189,0.8735632184,0.8042328042,0.8374655647
2018-08-30,njrat,122,0.6162790698,0.868852459,0.7210884354
2018-08-30,qakbot,103,0.9626168224,1,0.980952381
2018-08-30,swisyn,342,0.9481707317,0.9093567251,0.928358209
2018-08-30,trickbot,137,0.9054054054,0.4890510949,0.63507109
2018-08-30,ursnif,17,0.68,1,0.8095238095
2018-08-30,zeus,101,0.736,0.9108910891,0.814159292
2018-09-29,adload,27,1,0.5555555556,0.7142857143
2018-09-29,emotet,511,0.9107142857,0.9980430528,0.9523809524
2018-09-29,harhar,202,1,1,1
2018-09-29,lokibot,323,0.9793103448,0.8792569659,0.9265905383
2018-09-29,njrat,135,0.8943089431,0.8148148148,0.8527131783
2018-09-29,qakbot,60,0.9833333333,0.9833333333,0.9833333333
2018-09-29,swisyn,287,0.9459459459,0.9756097561,0.9605488851
2018-09-29,trickbot,100,0.9764705882,0.83,0.8972972973
2018-09-29,ursnif,21,0.6538461538,0.8095238095,0.7234042553
2018-09-29,zeus,35,0.6590909091,0.8285714286,0.7341772152
2018-10-29,adload,2,1,1,1
2018-10-29,emotet,580,0.9764309764,1,0.9880749574
2018-10-29,harhar,87,0.9775280899,1,0.9886363636
2018-10-29,lokibot,290,0.9855595668,0.9413793103,0.962962963
2018-10-29,njrat,136,0.8992248062,0.8529411765,0.8754716981
2018-10-29,qakbot,107,0.9816513761,1,0.9907407407
2018-10-29,swisyn,361,0.9513513514,0.9750692521,0.9630642955
2018-10-29,trickbot,139,0.976,0.8776978417,0.9242424242
2018-10-29,ursnif,20,0.85,0.85,0.85
2018-10-29,zeus,30,0.6756756757,0.8333333333,0.7462686567
2018-11-28,adload,28,0.9655172414,1,0.9824561404
2018-11-28,emotet,1070,0.9680365297,0.9906542056,0.9792147806
2018-11-28,harhar,36,1,1,1
2018-11-28,lokibot,226,0.9551569507,0.9424778761,0.9487750557
2018-11-28,njrat,156,0.9659863946,0.9102564103,0.9372937294
2018-11-28,qakbot,147,0.9848484848,0.8843537415,0.9318996416
2018-11-28,swisyn,361,0.9538043478,0.972299169,0.962962963
2018-11-28,trickbot,104,0.9777777778,0.8461538462,0.9072164948
2018-11-28,ursnif,20,0.5714285714,0.8,0.6666666667
2018-11-28,zeus,21,0.5238095238,0.5238095238,0.5238095238
2018-12-28,adload,410,0.9975550122,0.9951219512,0.9963369963
2018-12-28,emotet,1112,0.9901960784,0.9991007194,0.9946284691
2018-12-28,harhar,39,1,1,1
2018-12-28,lokibot,165,0.9691358025,0.9515151515,0.9602446483
2018-12-28,njrat,125,0.9406779661,0.888,0.9135802469
2018-12-28,qakbot,95,1,0.9894736842,0.9947089947
2018-12-28,swisyn,425,0.9857142857,0.9741176471,0.9798816568
2018-12-28,trickbot,21,0.8947368421,0.8095238095,0.85
2018-12-28,ursnif,12,0.6,1,0.75
2018-12-28,zeus,10,0.4545454545,0.5,0.4761904762
2019-01-27,adload,58,1,0.9655172414,0.9824561404
2019-01-27,emotet,1081,0.9862888483,0.9981498612,0.992183908
2019-01-27,harhar,19,1,1,1
2019-01-27,lokibot,215,0.9716981132,0.9581395349,0.9648711944
2019-01-27,njrat,128,0.92,0.8984375,0.9090909091
2019-01-27,qakbot,246,0.9918699187,0.9918699187,0.9918699187
2019-01-27,swisyn,509,0.9186691312,0.9764243615,0.9466666667
2019-01-27,trickbot,163,0.958677686,0.7116564417,0.8169014085
2019-01-27,ursnif,17,0.8421052632,0.9411764706,0.8888888889
2019-01-27,zeus,13,0.5625,0.6923076923,0.6206896552
2019-02-26,adload,58,0.6304347826,1,0.7733333333
2019-02-26,emotet,1028,0.9856801909,0.8035019455,0.8853161844
2019-02-26,harhar,88,1,0.1931818182,0.3238095238
2019-02-26,lokibot,161,0.9731543624,0.900621118,0.935483871
2019-02-26,njrat,140,0.7743902439,0.9071428571,0.8355263158
2019-02-26,qakbot,841,0.9882491187,1,0.9940898345
2019-02-26,swisyn,493,0.9513618677,0.9918864097,0.9712015889
2019-02-26,trickbot,165,0.9708029197,0.8060606061,0.880794702
2019-02-26,ursnif,14,0.1348314607,0.8571428571,0.2330097087
2019-02-26,zeus,12,0.04697986577,0.5833333333,0.08695652174
2019-03-28,adload,16,0.3018867925,1,0.4637681159
2019-03-28,emotet,715,0.9538950715,0.8391608392,0.8928571429
2019-03-28,harhar,83,0.9431818182,1,0.9707602339
2019-03-28,lokibot,119,0.737704918,0.756302521,0.7468879668
2019-03-28,njrat,164,0.8452380952,0.8658536585,0.8554216867
2019-03-28,qakbot,855,0.9726962457,1,0.9861591696
2019-03-28,swisyn,689,0.9530583215,0.9724238026,0.9626436782
2019-03-28,trickbot,152,0.9545454545,0.6907894737,0.8015267176
2019-03-28,ursnif,8,0.3571428571,0.625,0.4545454545
2019-03-28,zeus,9,0.1136363636,0.5555555556,0.1886792453
2019-04-27,adload,25,0.7142857143,1,0.8333333333
2019-04-27,emotet,535,0.9414990859,0.9626168224,0.9519408503
2019-04-27,harhar,1,0.04347826087,1,0.08333333333
2019-04-27,lokibot,176,0.7755102041,0.6477272727,0.7058823529
2019-04-27,njrat,185,0.8497109827,0.7945945946,0.8212290503
2019-04-27,qakbot,859,0.9705882353,0.9988358556,0.9845094664
2019-04-27,swisyn,853,0.991745283,0.9859320047,0.9888300999
2019-04-27,trickbot,212,0.9072847682,0.6462264151,0.7548209366
2019-04-27,ursnif,7,0.4117647059,1,0.5833333333
2019-04-27,zeus,15,0.09302325581,0.2666666667,0.1379310345
2019-05-27,adload,14,0.875,1,0.9333333333
2019-05-27,emotet,147,0.8121546961,1,0.8963414634
2019-05-27,harhar,25,0.1524390244,1,0.2645502646
2019-05-27,lokibot,129,0.8548387097,0.8217054264,0.837944664
2019-05-27,njrat,149,0.768707483,0.7583892617,0.7635135135
2019-05-27,qakbot,201,0.7701149425,1,0.8701298701
2019-05-27,swisyn,1127,0.9927992799,0.9787045253,0.9857015192
2019-05-27,trickbot,294,0.9142857143,0.2176870748,0.3516483516
2019-05-27,ursnif,8,0.875,0.875,0.875
2019-05-27,zeus,9,0.1904761905,0.4444444444,0.2666666667
2019-06-26,adload,26,0.9285714286,1,0.962962963
2019-06-26,emotet,3,0.125,1,0.2222222222
2019-06-26,harhar,2,0.6666666667,1,0.8
2019-06-26,lokibot,166,0.9583333333,0.8313253012,0.8903225806
2019-06-26,njrat,151,0.7906976744,0.9006622517,0.8421052632
2019-06-26,qakbot,59,0.4836065574,1,0.6519337017
2019-06-26,swisyn,825,0.9595238095,0.976969697,0.9681681682
2019-06-26,trickbot,401,0.9837662338,0.7556109726,0.8547249647
2019-06-26,ursnif,5,0.7142857143,1,0.8333333333
2019-06-26,zeus,18,0.625,0.2777777778,0.3846153846
2019-07-26,adload,2,0.5,1,0.6666666667
2019-07-26,emotet,8,0.2962962963,1,0.4571428571
2019-07-26,harhar,0,0,0,0
2019-07-26,lokibot,131,0.9,0.8244274809,0.8605577689
2019-07-26,njrat,155,0.7849462366,0.9419354839,0.8563049853
2019-07-26,qakbot,31,0.8333333333,0.9677419355,0.8955223881
2019-07-26,swisyn,766,0.9522580645,0.9634464752,0.9578195977
2019-07-26,trickbot,268,0.9820627803,0.8171641791,0.8920570265
2019-07-26,ursnif,3,0.5,1,0.6666666667
2019-07-26,zeus,23,0.7777777778,0.3043478261,0.4375
2019-08-25,adload,1,1,1,1
2019-08-25,emotet,193,0.9306930693,0.9740932642,0.9518987342
2019-08-25,harhar,0,0,0,0
2019-08-25,lokibot,162,0.9285714286,0.8024691358,0.8609271523
2019-08-25,njrat,111,0.7272727273,0.9369369369,0.8188976378
2019-08-25,qakbot,64,0.9402985075,0.984375,0.9618320611
2019-08-25,swisyn,781,0.9656925032,0.9731113956,0.9693877551
2019-08-25,trickbot,97,0.935483871,0.5979381443,0.7295597484
2019-08-25,ursnif,45,0.8775510204,0.9555555556,0.914893617
2019-08-25,zeus,9,0.3333333333,0.4444444444,0.380952381
2019-09-24,adload,2,0.1666666667,0.5,0.25
2019-09-24,emotet,869,0.9829476248,0.9286536249,0.9550295858
2019-09-24,harhar,4,0.8,1,0.8888888889
2019-09-24,lokibot,217,0.9137055838,0.8294930876,0.8695652174
2019-09-24,njrat,91,0.6140350877,0.7692307692,0.6829268293
2019-09-24,qakbot,122,0.884057971,1,0.9384615385
2019-09-24,swisyn,1043,0.9397590361,0.9721955896,0.9557021678
2019-09-24,trickbot,277,0.8443579767,0.7833935018,0.8127340824
2019-09-24,ursnif,179,0.9779005525,0.9888268156,0.9833333333
2019-09-24,zeus,9,0.2666666667,0.4444444444,0.3333333333
2019-10-24,adload,0,0,0,0
2019-10-24,emotet,2365,0.9985888993,0.8976744186,0.9454464485
2019-10-24,harhar,52,0.796875,0.9807692308,0.8793103448
2019-10-24,lokibot,169,0.4790419162,0.9467455621,0.6361829026
2019-10-24,njrat,185,0.8125,0.5621621622,0.6645367412
2019-10-24,qakbot,155,0.8105263158,0.9935483871,0.8927536232
