family,support,precision,recall,f1
adload,695,0.8624678663,0.9654676259,0.911065852
emotet,12026,0.9582765668,0.9358057542,0.9469078671
harhar,655,0.7548891786,0.8839694656,0.8143459916
lokibot,3262,0.8721432983,0.8657265481,0.8689230769
njrat,2554,0.7768382353,0.8273296789,0.801289344
qakbot,4226,0.9387572642,0.99384761,0.9655172414
swisyn,11611,0.9449226912,0.973731806,0.9591109603
trickbot,3559,0.9487070793,0.6288283226,0.7563366002
ursnif,871,0.812749004,0.9368541906,0.8704
zeus,726,0.4850352113,0.758953168,0.5918367347
