boundary,n_test,n_errors,api_macro_f1,rank,true_family,predicted_family,count,share_of_window_errors
2018-08-30,1605,185,0.6696110307,1,trickbot,njrat,55,0.2972972973
2018-08-30,1605,185,0.6696110307,2,swisyn,zeus,19,0.1027027027
2018-08-30,1605,185,0.6696110307,3,emotet,lokibot,13,0.07027027027
2018-08-30,1605,185,0.6696110307,4,lokibot,emotet,12,0.06486486486
2019-02-26,3000,345,0.6919521584,1,emotet,zeus,138,0.4
2019-02-26,3000,345,0.6919521584,2,harhar,ursnif,40,0.115942029
2019-02-26,3000,345,0.6919521584,3,harhar,adload,31,0.08985507246
2019-02-26,3000,345,0.6919521584,4,emotet,ursnif,29,0.08405797101
2019-03-28,2810,239,0.7323249411,1,emotet,adload,37,0.1548117155
2019-03-28,2810,239,0.7323249411,2,emotet,zeus,32,0.1338912134
2019-03-28,2810,239,0.7323249411,3,trickbot,swisyn,28,0.1171548117
2019-03-28,2810,239,0.7323249411,4,emotet,lokibot,25,0.1046025105
2019-04-27,2868,219,0.6845143791,1,lokibot,zeus,28,0.1278538813
2019-04-27,2868,219,0.6845143791,2,trickbot,emotet,23,0.1050228311
2019-04-27,2868,219,0.6845143791,3,trickbot,harhar,22,0.100456621
2019-04-27,2868,219,0.6845143791,4,emotet,lokibot,20,0.09132420091
2019-05-27,2103,319,0.7044829647,1,trickbot,harhar,132,0.4137931034
2019-05-27,2103,319,0.7044829647,2,trickbot,qakbot,46,0.144200627
2019-05-27,2103,319,0.7044829647,3,trickbot,emotet,27,0.08463949843
2019-05-27,2103,319,0.7044829647,4,lokibot,njrat,16,0.05015673981
2019-06-26,1656,173,0.7410388582,1,trickbot,qakbot,51,0.2947976879
2019-06-26,1656,173,0.7410388582,2,trickbot,swisyn,29,0.1676300578
2019-06-26,1656,173,0.7410388582,3,lokibot,njrat,16,0.09248554913
2019-06-26,1656,173,0.7410388582,4,swisyn,njrat,11,0.06358381503
2019-07-26,1387,126,0.6690237957,1,trickbot,swisyn,33,0.2619047619
2019-07-26,1387,126,0.6690237957,2,lokibot,njrat,16,0.126984127
2019-07-26,1387,126,0.6690237957,3,swisyn,njrat,14,0.1111111111
2019-07-26,1387,126,0.6690237957,4,trickbot,njrat,10,0.07936507937
