sha256,field,value,match_type,matched_term
00003d128a7eb859f65f5780d8fa2b5e52d472665678bf6e388e857fbaed773a,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
0000a65749f5902c4d82ffa701198038f0b4870b00a27cfca109f8f933476d82,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00123769ba0a8869fb762659eb9076a6c5d52f9ef9763ba9671633120aad3b17,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
001591fcb1fd4e8ea923b889c4739fb7e8c3e6759b8d3ac452592270f23b141f,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00175b82bb3544000faf0cac941a5929f58a1abfadd5e983c6c1673f1531037d,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
001c3dd03f2f9c57938be33f38798d6baf54d3831f893199b0ba5afe2eff3873,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
001d01b5dd7b18af7f1677212f260ead81c33504bb5cd848a1dc70bd0412cc22,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00251270358ba7a88a4a6ed123c14c3220d00254de813778fc2a78ac5c585ebc,resolved_apis,advapi32.dll.CryptVerifySignatureW,detection_indicator,signature
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
002f7a0ee770c2af373265c67df8d99241a007f006360a412baed4fa3a8ceb2c,files,C:\tmpk0vfasgt\data\yara\*,detection_indicator,yara
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,resolved_apis,cryptsp.dll.CryptVerifySignatureA,detection_indicator,signature
0035f53e2a500877575bbd9b91296403248229f3ae7c140d843347006d5259b9,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
0036d294bf884f872215b29e2ef27e3c91c3414d78ed9254fb19cca8ea2f4e50,resolved_apis,advapi32.dll.CryptVerifySignatureW,detection_indicator,signature
004a2fcf484795a9b93fdb08bee1efdaf5c6da041f0dd21722cc75e77d11f05f,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
004b658d8df94d9bdb6c2104f831441519b41122bedcf7c1c015a5882fe110bc,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
004d3779913ec6954242a2ec282447500fb56150d882874e602c7d94f103d238,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
004e80d76b2a772162b79f24a14b80a33b41243bf0da5fd30c02c516820c82c8,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00501912e5066cbfd8a586f5ac6932e51b4db81298e9a2476f7f50735a1580dd,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
0054e4ad3fce69c4da818630cdf7464b7ab3dc83c62d0069a079e904243b7c8e,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
0058a5ae8401f4449b2f373f489b8b2778127e3b361afc7cf11cb0854fee82b4,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00643dbe5c78599e1a18676c4455c5fc32fe40cf5cc5ec7e2928072c8027a0eb,files,C:\tmp13trwidj\data\yara\*,detection_indicator,yara
00643dbe5c78599e1a18676c4455c5fc32fe40cf5cc5ec7e2928072c8027a0eb,files,C:\tmp13trwidj\data\yara,detection_indicator,yara
006bb0b80a30a2ebf4dbdd42a44e4843306c135da98bf27b6d995ff151e30b7c,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
0072c4b617c9a45454b8fe2df86aa79e3135a7b0493c01eb883fa3559c5f8746,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00759ef41ba636d9c3b8bc4747a8c8a57e914d6aa2a649934f9da88e505f2b9b,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
007a7a8abee8ce3c7c3b8a8bf1c513111596b07534f0ddb48b7f840548fc034c,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
007aa9c074c4724342a2abdcd66efcd9ab7f6733cdda247123c0f0bb9b455ec9,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
007c56a3c33fa663becf8646be023d403a81ccbe82e15bff750811d2572e53d7,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
007e3b297a37d84e8b21b590acc0a58cd74a67ace1697cfe2a55830c42dcd4f7,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
0082f92b302dcd94f57823da8902491fb4c95226d5c89a91e77638d54c60ee3c,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
0083edb62f796b7739336b0406d43bdc5b85850398a7a1cef8f77f4be5321fae,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
008a366cf1f63e95d86af813902052549a387428f5c9e57b0ec1f0e89e957990,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
008ea5eb3a2b854165eb2fa53fe5f88e0de614a0dcc1bdb4dc27164c67cf06cc,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
008f8a1f8ae2c2a5b5e7fca44e6df8f66d13b54a96def40a21ba0ac9e710f0db,files,C:\Program Files\VideoLAN\VLC\plugins\video_filter\libedgedetection_plugin.dll,detection_indicator,detection
008f8a1f8ae2c2a5b5e7fca44e6df8f66d13b54a96def40a21ba0ac9e710f0db,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
0092c85533aed8a1eb66b2c35afe8aca851232f7e69f4b7ea9af5e4152eb4243,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
0093b0cd8f3e59506ff456afc8df0dfaa561fafa9ef04ffc934a250beaf3a923,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00a35f1e23cef590bdfd8d2d30ecd7024b0028e34433384a840bf37638647af1,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00b221dbe1cf23d5c3e5692aa78562fdd67f9dc35e683b05f37ff232d00767b9,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00b41a4786b599a28cd18ad647cd6aa121ee8d466e6b3ce436ee5e3f769df5a1,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
00b41a4786b599a28cd18ad647cd6aa121ee8d466e6b3ce436ee5e3f769df5a1,resolved_apis,cryptsp.dll.CryptVerifySignatureA,detection_indicator,signature
00b7f0eb0b3678e70302f17b7e4a2776a48a211b33d21a4b79062d589b7dce57,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00b8cbc43ddc4ae38c205e7f8f7269dd6a7c2800137370706b0cd6cff0616bdf,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00bcffe09a7f219627d8e99b915f572e6ef699ff5b7c527f47c489426c4ddf64,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
00c649cbd13e98048e2b93c69984c068c1d461bb1574a0ed75d6c9bd5eb201ac,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00c649cbd13e98048e2b93c69984c068c1d461bb1574a0ed75d6c9bd5eb201ac,resolved_apis,advapi32.dll.CryptVerifySignatureW,detection_indicator,signature
00c71725c46fce89c12760fcad4f508b68c9f2c72e527b6649b7c96ad5d253be,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00d23de37ef1f863c6de1ffdd6b83f90232163023f790f724ddaaa795c5959a1,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00d74626e7ce94adde2e52ec08ca50aeb25bc8a4c716abc465b7ac894fa682be,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00d74626e7ce94adde2e52ec08ca50aeb25bc8a4c716abc465b7ac894fa682be,resolved_apis,bcrypt.dll.BCryptVerifySignature,detection_indicator,signature
00dbf983fce5573034d402b96c8821c15c761421a5253a50dde558fc437eb0ce,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00e06383104026f36aebd280e05ae0de1d1dba73e80e67f204b456ca5281de31,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00e5f252c88d8f60daeb520dfb0dc69773d03cc7aa8d3dc2437535ad65316955,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00e5f252c88d8f60daeb520dfb0dc69773d03cc7aa8d3dc2437535ad65316955,resolved_apis,advapi32.dll.CryptVerifySignatureW,detection_indicator,signature
00ea7f313ce23a593f0869603b5c9d234a5a511162f5d01d43f3caa1480c6088,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00edb7ab4c0a1b756e461a0d09d8918c8b319ebb9825f716a4367f4ceeeaa54f,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00f5f388e79e0289a3cebc66fb0826b97bcc25a39a60d83a53b7f2540cdb15b4,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00f7651d813c01fdab1af5bc44e14f9f122ae717f5b5d9549328a51cba0d8881,resolved_apis,kernel32.dll.CreateRemoteThread,family_name,emotet
00f834a83fb29a116517421da64601a3ea681e443adcee61f2d50bc16eb5582e,files,C:\tmpgc8sq_o5\data\yara\*,detection_indicator,yara
00f834a83fb29a116517421da64601a3ea681e443adcee61f2d50bc16eb5582e,files,C:\tmpgc8sq_o5\data\yara,detection_indicator,yara
00fc0f3e51ee3fd35570af54fd11a656735a12910b20f0138a32d6b2946bdb19,resolved_apis,advapi32.dll.CryptVerifySignatureA,detection_indicator,signature
01099f8018bed3a481f2c1121b2d820b1fcdedf8780eeacb609504f0269aadf9,keys,HKEY_LOCAL_MACHINE\SOFTWARE\MICROSOFT\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config\EnableWeakSignatureFlags,detection_indicator,signature
01099f8018bed3a481f2c1121b2d820b1fcdedf8780eeacb609504f0269aadf9,keys,HKEY_LOCAL_MACHINE\SOFTWARE\MICROSOFT\Cryptography\OID\EncodingType 0\CryptDllVerifyEncodedSignature,detection_indicator,signature
01099f8018bed3a481f2c1121b2d820b1fcdedf8780eeacb609504f0269aadf9,keys,HKEY_LOCAL_MACHINE\SOFTWARE\MICROSOFT\Cryptography\OID\EncodingType 1\CryptDllVerifyEncodedSignature,detection_indicator,signature
01099f8018bed3a481f2c1121b2d820b1fcdedf8780eeacb609504f0269aadf9,read_keys,HKEY_LOCAL_MACHINE\SOFTWARE\MICROSOFT\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config\EnableWeakSignatureFlags,detection_indicator,signature
01099f8018bed3a481f2c1121b2d820b1fcdedf8780eeacb609504f0269aadf9,resolved_apis,cryptsp.dll.CryptVerifySignatureA,detection_indicator,signature
