,precision,recall,f1-score,support
adload,0.8641975308641975,0.9929078014184397,0.9240924092409241,141.0
emotet,0.956338028169014,0.9410949410949411,0.9486552567237164,2886.0
harhar,0.7005347593582888,1.0,0.8238993710691824,131.0
lokibot,0.9149214659685864,0.834128878281623,0.8726591760299626,838.0
njrat,0.8555900621118012,0.8175074183976261,0.8361153262518968,674.0
qakbot,0.9187145557655955,0.992849846782431,0.9543446244477173,979.0
swisyn,0.9179775280898876,0.9733915806195393,0.9448727833461835,2518.0
trickbot,0.9265175718849841,0.6896551724137931,0.7907293796864349,841.0
ursnif,0.7039106145251397,0.9368029739776952,0.8038277511961722,269.0
zeus,0.8459958932238193,0.7938342967244701,0.8190854870775348,519.0
accuracy,0.9089424254797877,0.9089424254797877,0.9089424254797877,0.9089424254797877
macro avg,0.8604698009961315,0.8972172909710558,0.8718281565069723,9796.0
weighted avg,0.9121579637238812,0.9089424254797877,0.9075855996943522,9796.0
