,precision,recall,f1-score,support
adload,1.0,1.0,1.0,3.0
emotet,0.9978441638435479,0.9194097616345063,0.9570225963668587,3524.0
harhar,1.0,0.9855072463768116,0.9927007299270073,69.0
lokibot,0.8756756756756757,0.94921875,0.9109653233364574,512.0
njrat,0.8761904761904762,0.9761273209549072,0.9234629861982434,377.0
qakbot,1.0,0.9913544668587896,0.9956584659913169,347.0
swisyn,0.9963076923076923,0.9953888718106363,0.9958480701214824,3253.0
trickbot,0.9465716829919858,0.960252935862692,0.9533632286995516,1107.0
ursnif,0.9101338432122371,0.9979035639412998,0.952,477.0
zeus,0.4714828897338403,0.9763779527559056,0.6358974358974359,127.0
accuracy,0.9605961616986525,0.9605961616986525,0.9605961616986525,0.9605961616986525
macro avg,0.9074206423955455,0.9751540870195547,0.9316918836538353,9796.0
weighted avg,0.969470042385862,0.9605961616986525,0.9630284911841899,9796.0
