,precision,recall,f1-score,support
adload,1.0,1.0,1.0,141.0
emotet,0.9934330536300621,0.9435204435204435,0.9678336591434157,2886.0
harhar,1.0,0.9923664122137404,0.9961685823754789,131.0
lokibot,0.9719387755102041,0.9082240762812872,0.9390018484288355,839.0
njrat,0.8783068783068783,0.9837037037037037,0.9280223619846262,675.0
qakbot,0.9420289855072463,0.9959141981613892,0.968222442899702,979.0
swisyn,0.9936733886911823,0.9976181024215959,0.9956418383518225,2519.0
trickbot,0.9572446555819477,0.9583828775267539,0.9578134284016637,841.0
ursnif,0.8535031847133758,0.9962825278810409,0.9193825042881647,269.0
zeus,0.9278937381404174,0.9421965317919075,0.9349904397705545,519.0
accuracy,0.9665271966527197,0.9665271966527197,0.9665271966527197,0.9665271966527197
macro avg,0.9518022660081314,0.9718208873501861,0.9607077105644265,9799.0
weighted avg,0.968352196483155,0.9665271966527197,0.966722140763117,9799.0
