,precision,recall,f1-score,support
adload,0.6,1.0,0.75,3.0
emotet,0.9890176937156803,0.9199772985244041,0.9532490443987063,3524.0
harhar,1.0,0.9855072463768116,0.9927007299270073,69.0
lokibot,0.8269896193771626,0.93359375,0.8770642201834863,512.0
njrat,0.832579185520362,0.9761273209549072,0.8986568986568987,377.0
qakbot,1.0,0.9913544668587896,0.9956584659913169,347.0
swisyn,0.9956683168316832,0.9892407008914847,0.9924441017733231,3253.0
trickbot,0.9551971326164874,0.9629629629629629,0.9590643274853801,1107.0
ursnif,1.0,0.9916142557651991,0.9957894736842106,477.0
zeus,0.45384615384615384,0.9291338582677166,0.6098191214470284,127.0
accuracy,0.9573295222539813,0.9573295222539813,0.9573295222539813,0.9573295222539813
macro avg,0.865329810190753,0.9679511860602276,0.9024446383547359,9796.0
weighted avg,0.9668589335151816,0.9573295222539813,0.9601759374253432,9796.0
