boundary,test_start,test_end,n_train,n_test,families_present,api_macro_f1
2018-06-01,2018-06-01,2018-07-01,8753,1519,8,0.8155361381752463
2018-07-01,2018-07-01,2018-07-31,10272,1223,9,0.8144446008945307
2018-07-31,2018-07-31,2018-08-30,11495,1174,8,0.8240866260825213
2018-08-30,2018-08-30,2018-09-29,12669,1605,9,0.6696110307050376
2018-09-29,2018-09-29,2018-10-29,14274,1701,10,0.8744731369514133
2018-10-29,2018-10-29,2018-11-28,15975,1752,10,0.9289462099308317
2018-11-28,2018-11-28,2018-12-28,17727,2169,10,0.8840294995865138
2018-12-28,2018-12-28,2019-01-27,19896,2414,10,0.891557148838652
2019-01-27,2019-01-27,2019-02-26,22310,2449,10,0.9113618689745016
2019-02-26,2019-02-26,2019-03-28,24759,3000,10,0.6919521584108598
2019-03-28,2019-03-28,2019-04-27,27759,2810,10,0.7323249411366086
2019-04-27,2019-04-27,2019-05-27,30569,2868,10,0.6845143790998036
2019-05-27,2019-05-27,2019-06-26,33437,2103,10,0.7044829646501838
2019-06-26,2019-06-26,2019-07-26,35540,1656,10,0.7410388581501655
2019-07-26,2019-07-26,2019-08-25,37196,1387,9,0.6690237956937872
2019-08-25,2019-08-25,2019-09-24,38583,1463,9,0.8431498985402717
2019-09-24,2019-09-24,2019-10-24,40046,2813,10,0.7669974976638769
2019-10-24,2019-10-24,2019-11-23,42859,5221,9,0.7956960123810108
2019-11-23,2019-11-23,2019-12-23,48080,858,10,0.7825310775977123
