,precision,recall,f1-score,support
adload,1.0,1.0,1.0,3.0
emotet,0.9993517017828201,0.8748581157775256,0.932970192162203,3524.0
harhar,1.0,0.9855072463768116,0.9927007299270073,69.0
lokibot,0.729607250755287,0.943359375,0.8228279386712095,512.0
njrat,0.7654320987654321,0.986737400530504,0.8621089223638471,377.0
qakbot,0.9857142857142858,0.9942363112391931,0.9899569583931134,347.0
swisyn,0.9996924969249692,0.9993851829080849,0.9995388162951576,3253.0
trickbot,0.9728260869565217,0.9701897018970189,0.9715061058344641,1107.0
ursnif,0.9083820662768031,0.9769392033542977,0.9414141414141414,477.0
zeus,0.4432234432234432,0.952755905511811,0.605,127.0
accuracy,0.9458962841976317,0.9458962841976317,0.9458962841976317,0.9458962841976317
macro avg,0.880422943039956,0.9683968442595248,0.9118023805061144,9796.0
weighted avg,0.9612485567076352,0.9458962841976317,0.9495659365515773,9796.0
