run,view,split,model,n_test,accuracy,macro_f1,weighted_f1,prediction_path,prediction_sha256
baseline_random_api_hash_sgd,api_hash,random_stratified,sgd,9796,0.9089,0.8718,0.9076,artifacts/predictions/baseline_random_api_hash_sgd.npz,18366ee4d324ed27c6c5faa8fd1c456b7a1b4904fae26e35a44ad97b595f3c3f
table_5_8,api_tfidf,global_chronological,sgd,9796,0.9573,0.9024,0.9602,artifacts/predictions/table_5_8.npz,423bd5f53126434dd1496e182578a1061f9e08bcfa3eec41686743ed06d0ab93
global_art_tfidf_sgd,art_tfidf,global_chronological,sgd,9796,0.9408,0.8872,0.9503,artifacts/predictions/global_art_tfidf_sgd.npz,20d533669e449273d3aa7d332c444ce534ccfb17b63db862f1f021a168fb1947
global_counts_logistic,counts,global_chronological,logistic,9796,0.4600,0.3964,0.5418,artifacts/predictions/global_counts_logistic.npz,0ef6eac66f2e568a3ee966bd77d67d8287f03a22e40017193770b423b65a4d7a
global_pe_logistic,pe,global_chronological,logistic,9796,0.4135,0.2017,0.3849,artifacts/predictions/global_pe_logistic.npz,72b3d6c0370f41c0be3f5187f19fa2f820c7cc06342e0058c19741e13c56c5eb
table_5_11_fusion_global_sgd,fusion,global_chronological,sgd,9796,0.9606,0.9317,0.9630,artifacts/predictions/table_5_11_fusion_global_sgd.npz,6ee744d938414311ebeeade900cad7ffaba7e530b68743d8ebff70f9ef2cd167
per_family_api_tfidf_sgd,api_tfidf,per_family_chronological,sgd,9799,0.9550,0.9536,0.9555,artifacts/predictions/per_family_api_tfidf_sgd.npz,9037508299936f09d6d5b758cf8cc0dd79a2bb2997d6f70151ae7e4fb2d16104
per_family_art_tfidf_sgd,art_tfidf,per_family_chronological,sgd,9799,0.9454,0.9348,0.9475,artifacts/predictions/per_family_art_tfidf_sgd.npz,9ec7e392e6fd349a73c52b7143636a5602e12a47939bac994225227a50e6f56b
per_family_counts_logistic,counts,per_family_chronological,logistic,9799,0.5081,0.4476,0.5716,artifacts/predictions/per_family_counts_logistic.npz,15e7e423f4b692a2c983c155e9b07b7422ccdd9aca6902e2eb5306a08a095670
per_family_pe_logistic,pe,per_family_chronological,logistic,9799,0.3895,0.2699,0.3509,artifacts/predictions/per_family_pe_logistic.npz,45cd49a1dc1b0e13547c60c17fd5041d51061ddb6d4c00b6c7660e105fc36542
table_5_12_fusion_per_family_sgd,fusion,per_family_chronological,sgd,9799,0.9665,0.9607,0.9667,artifacts/predictions/table_5_12_fusion_per_family_sgd.npz,21209ea87a02f10098cd34ca388fd9d787a5691d4cbd99b640a66bd69653eb99
table_6_1_fusion_global_lightgbm,fusion,global_chronological,lightgbm,9796,0.9459,0.9118,0.9496,artifacts/predictions/table_6_1_fusion_global_lightgbm.npz,ed61a85c0f7fc295e6e805edcb7883a6335f98f45ccc9422e1b12eb487aabad7
global_api_hash_sgd,api_hash,global_chronological,sgd,9796,0.8997,0.7977,0.8976,artifacts/predictions/global_api_hash_sgd.npz,79d7c5b1a2be3396a6f66ad347072f03c3a7875116208ff1ac07d5d1b181d778
