view,family,rank,token,report_count
api_entry,adload,1,kernel32.dll.exitthread,702
api_entry,adload,2,kernel32.dll.getcommandlinew,702
api_entry,adload,3,kernel32.dll.getmodulefilenamew,702
api_entry,adload,4,kernel32.dll.getprocessheap,702
api_entry,adload,5,kernel32.dll.heapalloc,702
api_entry,adload,6,kernel32.dll.heapfree,702
api_entry,adload,7,kernel32.dll.sleep,702
api_entry,adload,8,kernel32.dll.virtualprotect,702
api_entry,adload,9,kernel32.dll.virtualquery,701
api_entry,adload,10,kernel32.dll.createmutexw,700
api_entry,adload,11,msvcrt.dll._except_handler3,700
api_entry,adload,12,msvcrt.dll._wcslwr,700
api_entry,adload,13,msvcrt.dll._wsplitpath,700
api_entry,adload,14,msvcrt.dll.memset,700
api_entry,adload,15,msvcrt.dll.swscanf,700
api_entry,adload,16,version.dll.getfileversioninfosizew,700
api_entry,adload,17,version.dll.getfileversioninfow,700
api_entry,adload,18,version.dll.verqueryvaluew,700
api_entry,adload,19,kernel32.dll.getmodulehandlew,693
api_entry,adload,20,kernel32.dll.getsystemdirectoryw,687
api_entry,emotet,1,cryptbase.dll.systemfunction036,11934
api_entry,emotet,2,ole32.dll.coinitializeex,11833
api_entry,emotet,3,ole32.dll.cotaskmemalloc,11773
api_entry,emotet,4,ole32.dll.cotaskmemfree,11772
api_entry,emotet,5,ole32.dll.cocreateinstance,11763
api_entry,emotet,6,oleaut32.dll.#6,11682
api_entry,emotet,7,oleaut32.dll.#2,11681
api_entry,emotet,8,ole32.dll.couninitialize,11407
api_entry,emotet,9,oleaut32.dll.#200,11326
api_entry,emotet,10,oleaut32.dll.#500,11299
api_entry,emotet,11,ole32.dll.coregisterinitializespy,11280
api_entry,emotet,12,ole32.dll.cogetmalloc,11256
api_entry,emotet,13,comctl32.dll.#236,11254
api_entry,emotet,14,comctl32.dll.#320,11254
api_entry,emotet,15,comctl32.dll.#323,11254
api_entry,emotet,16,comctl32.dll.#324,11254
api_entry,emotet,17,comctl32.dll.#328,11254
api_entry,emotet,18,comctl32.dll.#334,11254
api_entry,emotet,19,ole32.dll.cogetapartmenttype,11254
api_entry,emotet,20,ole32.dll.createbindctx,11254
api_entry,harhar,1,kernel32.dll.createsemaphorew,654
api_entry,harhar,2,kernel32.dll.acquiresrwlockexclusive,630
api_entry,harhar,3,kernel32.dll.flsalloc,630
api_entry,harhar,4,kernel32.dll.flsgetvalue,630
api_entry,harhar,5,kernel32.dll.flssetvalue,630
api_entry,harhar,6,kernel32.dll.initializecriticalsectionex,630
api_entry,harhar,7,kernel32.dll.initializesrwlock,630
api_entry,harhar,8,kernel32.dll.lcmapstringex,630
api_entry,harhar,9,kernel32.dll.releasesrwlockexclusive,630
api_entry,harhar,10,api-ms-win-core-synch-l1-2-0.dll.initializeconditionvariable,629
api_entry,harhar,11,api-ms-win-core-synch-l1-2-0.dll.sleepconditionvariablecs,629
api_entry,harhar,12,api-ms-win-core-synch-l1-2-0.dll.wakeallconditionvariable,629
api_entry,harhar,13,kernel32.dll.closethreadpooltimer,629
api_entry,harhar,14,kernel32.dll.closethreadpoolwait,629
api_entry,harhar,15,kernel32.dll.closethreadpoolwork,629
api_entry,harhar,16,kernel32.dll.comparestringex,629
api_entry,harhar,17,kernel32.dll.createeventexw,629
api_entry,harhar,18,kernel32.dll.createsemaphoreexw,629
api_entry,harhar,19,kernel32.dll.createsymboliclinkw,629
api_entry,harhar,20,kernel32.dll.createthreadpooltimer,629
api_entry,lokibot,1,cryptsp.dll.cryptreleasecontext,3692
api_entry,lokibot,2,cryptsp.dll.crypthashdata,3685
api_entry,lokibot,3,cryptsp.dll.cryptdestroyhash,3684
api_entry,lokibot,4,cryptsp.dll.cryptcreatehash,3683
api_entry,lokibot,5,cryptsp.dll.cryptacquirecontextw,3664
api_entry,lokibot,6,cryptsp.dll.cryptgethashparam,3599
api_entry,lokibot,7,vaultcli.dll.vaultclosevault,3529
api_entry,lokibot,8,vaultcli.dll.vaultenumerateitems,3529
api_entry,lokibot,9,vaultcli.dll.vaultfree,3529
api_entry,lokibot,10,vaultcli.dll.vaultgetitem,3529
api_entry,lokibot,11,vaultcli.dll.vaultopenvault,3529
api_entry,lokibot,12,vaultcli.dll.vaultenumeratevaults,3528
api_entry,lokibot,13,advapi32.dll.regclosekey,3188
api_entry,lokibot,14,dwmapi.dll.dwmiscompositionenabled,3116
api_entry,lokibot,15,advapi32.dll.regqueryvalueexa,3098
api_entry,lokibot,16,gdi32.dll.gdiismetaprintdc,2990
api_entry,lokibot,17,advapi32.dll.regopenkeyexw,2971
api_entry,lokibot,18,advapi32.dll.regqueryvalueexw,2924
api_entry,lokibot,19,user32.dll.getsystemmetrics,2916
api_entry,lokibot,20,advapi32.dll.regenumkeyexw,2910
api_entry,njrat,1,cryptbase.dll.systemfunction036,3129
api_entry,njrat,2,advapi32.dll.regclosekey,3125
api_entry,njrat,3,advapi32.dll.regopenkeyexw,3099
api_entry,njrat,4,kernel32.dll.flsgetvalue,3015
api_entry,njrat,5,kernel32.dll.flsalloc,3014
api_entry,njrat,6,kernel32.dll.flssetvalue,3014
api_entry,njrat,7,user32.dll.isprocessdpiaware,2979
api_entry,njrat,8,uxtheme.dll.themeinitapihook,2977
api_entry,njrat,9,ole32.dll.coinitializeex,2912
api_entry,njrat,10,ole32.dll.cotaskmemfree,2816
api_entry,njrat,11,kernel32.dll.flsfree,2813
api_entry,njrat,12,advapi32.dll.regqueryvalueexw,2767
api_entry,njrat,13,advapi32.dll.regenumkeyexw,2745
api_entry,njrat,14,ole32.dll.couninitialize,2703
api_entry,njrat,15,ole32.dll.cotaskmemalloc,2681
api_entry,njrat,16,advapi32.dll.regqueryinfokeyw,2647
api_entry,njrat,17,dwmapi.dll.dwmiscompositionenabled,2643
api_entry,njrat,18,kernel32.dll.sortclosehandle,2639
api_entry,njrat,19,kernel32.dll.sortgethandle,2639
api_entry,njrat,20,advapi32.dll.unregistertraceguids,2626
api_entry,qakbot,1,kernel32.dll.getprocaddress,4863
api_entry,qakbot,2,kernel32.dll.loadlibrarya,4863
api_entry,qakbot,3,kernel32.dll.virtualprotect,4863
api_entry,qakbot,4,kernel32.dll.setlasterror,4861
api_entry,qakbot,5,kernel32.dll.getmodulehandlea,4860
api_entry,qakbot,6,kernel32.dll.sortclosehandle,4860
api_entry,qakbot,7,kernel32.dll.sortgethandle,4860
api_entry,qakbot,8,kernel32.dll.getmodulefilenamea,4857
api_entry,qakbot,9,kernel32.dll.heapalloc,4857
api_entry,qakbot,10,kernel32.dll.virtualalloc,4857
api_entry,qakbot,11,kernel32.dll.findclose,4855
api_entry,qakbot,12,kernel32.dll.getlasterror,4855
api_entry,qakbot,13,kernel32.dll.heapfree,4855
api_entry,qakbot,14,kernel32.dll.getcurrentprocessid,4853
api_entry,qakbot,15,kernel32.dll.lstrcmpa,4853
api_entry,qakbot,16,kernel32.dll.lstrlena,4853
api_entry,qakbot,17,kernel32.dll.getcurrentprocess,4851
api_entry,qakbot,18,kernel32.dll.closehandle,4840
api_entry,qakbot,19,kernel32.dll.waitforsingleobject,4840
api_entry,qakbot,20,advapi32.dll.regclosekey,4838
api_entry,swisyn,1,kernel32.dll.sortclosehandle,12581
api_entry,swisyn,2,kernel32.dll.sortgethandle,12581
api_entry,swisyn,3,kernel32.dll.isprocessorfeaturepresent,12571
api_entry,swisyn,4,kernel32.dll.closehandle,12533
api_entry,swisyn,5,kernel32.dll.getfileattributesa,12533
api_entry,swisyn,6,kernel32.dll.openprocess,12522
api_entry,swisyn,7,oleaut32.dll.varadd,12516
api_entry,swisyn,8,oleaut32.dll.varand,12516
api_entry,swisyn,9,oleaut32.dll.varcmp,12516
api_entry,swisyn,10,oleaut32.dll.vardiv,12516
api_entry,swisyn,11,oleaut32.dll.varidiv,12516
api_entry,swisyn,12,oleaut32.dll.varmod,12516
api_entry,swisyn,13,oleaut32.dll.varmul,12516
api_entry,swisyn,14,oleaut32.dll.varneg,12516
api_entry,swisyn,15,oleaut32.dll.varnot,12516
api_entry,swisyn,16,oleaut32.dll.varor,12516
api_entry,swisyn,17,oleaut32.dll.varsub,12516
api_entry,swisyn,18,oleaut32.dll.varxor,12516
api_entry,swisyn,19,ole32.dll.cocreateinstanceex,12515
api_entry,swisyn,20,cryptbase.dll.systemfunction036,12512
api_entry,trickbot,1,cryptbase.dll.systemfunction036,3142
api_entry,trickbot,2,ole32.dll.cocreateinstance,3098
api_entry,trickbot,3,cryptsp.dll.cryptacquirecontextw,3036
api_entry,trickbot,4,cryptsp.dll.cryptreleasecontext,3034
api_entry,trickbot,5,cryptsp.dll.cryptgenrandom,3019
api_entry,trickbot,6,sechost.dll.lookupaccountnamelocalw,2885
api_entry,trickbot,7,advapi32.dll.lookupaccountsidw,2875
api_entry,trickbot,8,sechost.dll.lookupaccountsidlocalw,2838
api_entry,trickbot,9,user32.dll.isprocessdpiaware,2816
api_entry,trickbot,10,uxtheme.dll.themeinitapihook,2816
api_entry,trickbot,11,ole32.dll.cotaskmemfree,2760
api_entry,trickbot,12,ole32.dll.cotaskmemalloc,2759
api_entry,trickbot,13,kernel32.dll.virtualalloc,2695
api_entry,trickbot,14,ole32.dll.cogetclassobject,2612
api_entry,trickbot,15,ole32.dll.cogetmarshalsizemax,2612
api_entry,trickbot,16,ole32.dll.cogetpsclsid,2612
api_entry,trickbot,17,ole32.dll.comarshalinterface,2612
api_entry,trickbot,18,ole32.dll.coreleasemarshaldata,2612
api_entry,trickbot,19,ole32.dll.counmarshalinterface,2612
api_entry,trickbot,20,ole32.dll.dcomchannelsethresult,2612
api_entry,ursnif,1,kernel32.dll.virtualalloc,1296
api_entry,ursnif,2,kernel32.dll.closehandle,1294
api_entry,ursnif,3,kernel32.dll.getprocaddress,1290
api_entry,ursnif,4,kernel32.dll.getmodulehandlea,1288
api_entry,ursnif,5,kernel32.dll.getlasterror,1287
api_entry,ursnif,6,kernel32.dll.heapalloc,1287
api_entry,ursnif,7,kernel32.dll.getcurrentprocessid,1286
api_entry,ursnif,8,kernel32.dll.sleep,1286
api_entry,ursnif,9,kernel32.dll.heapfree,1285
api_entry,ursnif,10,kernel32.dll.lstrlena,1284
api_entry,ursnif,11,kernel32.dll.heapcreate,1282
api_entry,ursnif,12,kernel32.dll.waitforsingleobject,1281
api_entry,ursnif,13,kernel32.dll.getmodulefilenamew,1280
api_entry,ursnif,14,kernel32.dll.openprocess,1280
api_entry,ursnif,15,kernel32.dll.createeventa,1279
api_entry,ursnif,16,kernel32.dll.lstrlenw,1279
api_entry,ursnif,17,kernel32.dll.loadlibrarya,1278
api_entry,ursnif,18,ntdll.dll.memcpy,1278
api_entry,ursnif,19,ntdll.dll.memset,1277
api_entry,ursnif,20,kernel32.dll.exitprocess,1276
api_entry,zeus,1,kernel32.dll.heapalloc,2122
api_entry,zeus,2,kernel32.dll.getprocessheap,2105
api_entry,zeus,3,kernel32.dll.sleep,2078
api_entry,zeus,4,kernel32.dll.heapfree,2013
api_entry,zeus,5,kernel32.dll.heaprealloc,1980
api_entry,zeus,6,kernel32.dll.getmodulehandlew,1905
api_entry,zeus,7,kernel32.dll.gettickcount,1900
api_entry,zeus,8,kernel32.dll.getprocaddress,1846
api_entry,zeus,9,kernel32.dll.getmodulehandlea,1746
api_entry,zeus,10,kernel32.dll.loadlibrarya,1731
api_entry,zeus,11,kernel32.dll.virtualallocex,1696
api_entry,zeus,12,kernel32.dll.writeprocessmemory,1672
api_entry,zeus,13,kernel32.dll.closehandle,1667
api_entry,zeus,14,advapi32.dll.regclosekey,1639
api_entry,zeus,15,kernel32.dll.createprocessw,1620
