view,family,rank,token,report_count
artifact_model_component,adload,1,hkey_local_machine,702
artifact_model_component,adload,2,microsoft,702
artifact_model_component,adload,3,reg,702
artifact_model_component,adload,4,software,702
artifact_model_component,adload,5,disableusermodecallbackfilter,701
artifact_model_component,adload,6,windows,701
artifact_model_component,adload,7,nt,697
artifact_model_component,adload,8,control,696
artifact_model_component,adload,9,controlset001,696
artifact_model_component,adload,10,system,696
artifact_model_component,adload,11,file,695
artifact_model_component,adload,12,file_ext,694
artifact_model_component,adload,13,currentcontrolset,693
artifact_model_component,adload,14,hkey_current_user,692
artifact_model_component,adload,15,nls,690
artifact_model_component,adload,16,sortdefault,690
artifact_model_component,adload,17,dll,688
artifact_model_component,adload,18,mui,687
artifact_model_component,adload,19,wow6432node,685
artifact_model_component,adload,20,tmp,684
artifact_model_component,emotet,1,microsoft,14225
artifact_model_component,emotet,2,file,14104
artifact_model_component,emotet,3,windows,14084
artifact_model_component,emotet,4,users,14000
artifact_model_component,emotet,5,file_ext,13995
artifact_model_component,emotet,6,appdata,13986
artifact_model_component,emotet,7,reg,13966
artifact_model_component,emotet,8,nt,13923
artifact_model_component,emotet,9,hkey_local_machine,13829
artifact_model_component,emotet,10,software,13790
artifact_model_component,emotet,11,tmp,13756
artifact_model_component,emotet,12,exe,13717
artifact_model_component,emotet,13,disableusermodecallbackfilter,13713
artifact_model_component,emotet,14,local,13628
artifact_model_component,emotet,15,system,13619
artifact_model_component,emotet,16,temp,13619
artifact_model_component,emotet,17,control,13618
artifact_model_component,emotet,18,controlset001,13610
artifact_model_component,emotet,19,currentcontrolset,13507
artifact_model_component,emotet,20,wow6432node,13169
artifact_model_component,harhar,1,api,655
artifact_model_component,harhar,2,appmodel,655
artifact_model_component,harhar,3,core,655
artifact_model_component,harhar,4,current,655
artifact_model_component,harhar,5,disableusermodecallbackfilter,655
artifact_model_component,harhar,6,dll,655
artifact_model_component,harhar,7,ext,655
artifact_model_component,harhar,8,fibers,655
artifact_model_component,harhar,9,file,655
artifact_model_component,harhar,10,file_ext,655
artifact_model_component,harhar,11,hkey_local_machine,655
artifact_model_component,harhar,12,kernel32,655
artifact_model_component,harhar,13,l1,655
artifact_model_component,harhar,14,localization,655
artifact_model_component,harhar,15,microsoft,655
artifact_model_component,harhar,16,ms,655
artifact_model_component,harhar,17,nt,655
artifact_model_component,harhar,18,package,655
artifact_model_component,harhar,19,reg,655
artifact_model_component,harhar,20,runtime,655
artifact_model_component,lokibot,1,file,4186
artifact_model_component,lokibot,2,file_ext,4185
artifact_model_component,lokibot,3,tmp,4130
