month,family,n,month_total,family_share
2008-06,zeus,1,1,1.0
2011-10,zeus,3,3,1.0
2011-11,zeus,5,5,1.0
2011-12,zeus,7,7,1.0
2012-01,zeus,11,11,1.0
2012-02,zeus,26,26,1.0
2012-03,zeus,29,29,1.0
2012-04,zeus,16,16,1.0
2012-05,zeus,9,9,1.0
2012-06,zeus,7,7,1.0
2012-07,zeus,65,65,1.0
2012-08,zeus,37,37,1.0
2012-09,zeus,17,17,1.0
2012-10,njrat,3,29,0.10344827586206896
2012-10,zeus,26,29,0.896551724137931
2012-11,njrat,6,32,0.1875
2012-11,zeus,26,32,0.8125
2012-12,njrat,3,38,0.07894736842105263
2012-12,zeus,35,38,0.9210526315789473
2013-01,njrat,4,27,0.14814814814814814
2013-01,zeus,23,27,0.8518518518518519
2013-02,njrat,3,33,0.09090909090909091
2013-02,zeus,30,33,0.9090909090909091
2013-03,njrat,3,82,0.036585365853658534
2013-03,zeus,79,82,0.9634146341463414
2013-04,njrat,1,25,0.04
2013-04,zeus,24,25,0.96
2013-05,emotet,1,25,0.04
2013-05,njrat,2,25,0.08
2013-05,zeus,22,25,0.88
2013-06,njrat,3,15,0.2
2013-06,zeus,12,15,0.8
2013-07,zeus,11,11,1.0
2013-08,njrat,2,9,0.2222222222222222
2013-08,zeus,7,9,0.7777777777777778
2013-09,njrat,7,8,0.875
2013-09,swisyn,1,8,0.125
2013-10,lokibot,1,10,0.1
2013-10,njrat,5,10,0.5
2013-10,zeus,4,10,0.4
2013-11,njrat,7,10,0.7
2013-11,zeus,3,10,0.3
2013-12,emotet,1,11,0.09090909090909091
2013-12,njrat,6,11,0.5454545454545454
2013-12,zeus,4,11,0.36363636363636365
2014-01,njrat,5,10,0.5
2014-01,zeus,5,10,0.5
2014-02,njrat,4,4,1.0
2014-03,njrat,4,6,0.6666666666666666
2014-03,zeus,2,6,0.3333333333333333
2014-04,njrat,4,6,0.6666666666666666
2014-04,zeus,2,6,0.3333333333333333
2014-05,emotet,4,13,0.3076923076923077
2014-05,njrat,5,13,0.38461538461538464
2014-05,zeus,4,13,0.3076923076923077
2014-06,emotet,7,15,0.4666666666666667
2014-06,njrat,4,15,0.26666666666666666
2014-06,zeus,4,15,0.26666666666666666
2014-07,njrat,8,12,0.6666666666666666
2014-07,ursnif,1,12,0.08333333333333333
2014-07,zeus,3,12,0.25
2014-08,njrat,5,8,0.625
2014-08,zeus,3,8,0.375
2014-09,njrat,3,4,0.75
2014-09,zeus,1,4,0.25
2014-10,njrat,4,13,0.3076923076923077
2014-10,swisyn,1,13,0.07692307692307693
2014-10,ursnif,3,13,0.23076923076923078
2014-10,zeus,5,13,0.38461538461538464
2014-11,njrat,4,14,0.2857142857142857
2014-11,zeus,10,14,0.7142857142857143
2014-12,njrat,1,3,0.3333333333333333
2014-12,ursnif,2,3,0.6666666666666666
2015-01,swisyn,1,3,0.3333333333333333
2015-01,ursnif,1,3,0.3333333333333333
2015-01,zeus,1,3,0.3333333333333333
2015-02,njrat,3,4,0.75
2015-02,zeus,1,4,0.25
2015-03,emotet,7,17,0.4117647058823529
2015-03,njrat,5,17,0.29411764705882354
2015-03,ursnif,1,17,0.058823529411764705
2015-03,zeus,4,17,0.23529411764705882
2015-04,emotet,2,10,0.2
2015-04,njrat,1,10,0.1
2015-04,ursnif,1,10,0.1
2015-04,zeus,6,10,0.6
2015-05,emotet,10,23,0.43478260869565216
2015-05,njrat,7,23,0.30434782608695654
2015-05,ursnif,2,23,0.08695652173913043
2015-05,zeus,4,23,0.17391304347826086
2015-06,emotet,9,28,0.32142857142857145
2015-06,njrat,6,28,0.21428571428571427
2015-06,ursnif,10,28,0.35714285714285715
2015-06,zeus,3,28,0.10714285714285714
2015-07,lokibot,1,18,0.05555555555555555
2015-07,njrat,3,18,0.16666666666666666
2015-07,ursnif,1,18,0.05555555555555555
2015-07,zeus,13,18,0.7222222222222222
2015-08,lokibot,2,13,0.15384615384615385
2015-08,njrat,3,13,0.23076923076923078
2015-08,ursnif,3,13,0.23076923076923078
2015-08,zeus,5,13,0.38461538461538464
2015-09,njrat,5,10,0.5
2015-09,swisyn,1,10,0.1
2015-09,ursnif,2,10,0.2
2015-09,zeus,2,10,0.2
2015-10,njrat,3,4,0.75
2015-10,zeus,1,4,0.25
2015-11,njrat,3,12,0.25
2015-11,swisyn,5,12,0.4166666666666667
2015-11,ursnif,1,12,0.08333333333333333
2015-11,zeus,3,12,0.25
2015-12,lokibot,2,3,0.6666666666666666
2015-12,zeus,1,3,0.3333333333333333
2016-01,njrat,4,7,0.5714285714285714
2016-01,ursnif,3,7,0.42857142857142855
2016-02,njrat,6,12,0.5
2016-02,ursnif,2,12,0.16666666666666666
2016-02,zeus,4,12,0.3333333333333333
2016-03,njrat,3,16,0.1875
2016-03,ursnif,8,16,0.5
2016-03,zeus,5,16,0.3125
2016-04,lokibot,1,17,0.058823529411764705
2016-04,njrat,5,17,0.29411764705882354
2016-04,swisyn,1,17,0.058823529411764705
2016-04,ursnif,6,17,0.35294117647058826
2016-04,zeus,4,17,0.23529411764705882
2016-05,lokibot,1,30,0.03333333333333333
2016-05,njrat,4,30,0.13333333333333333
2016-05,swisyn,1,30,0.03333333333333333
2016-05,ursnif,4,30,0.13333333333333333
2016-05,zeus,20,30,0.6666666666666666
2016-06,lokibot,1,20,0.05
2016-06,njrat,3,20,0.15
2016-06,swisyn,2,20,0.1
2016-06,ursnif,4,20,0.2
2016-06,zeus,10,20,0.5
2016-07,njrat,4,10,0.4
2016-07,zeus,6,10,0.6
2016-08,njrat,7,15,0.4666666666666667
2016-08,swisyn,1,15,0.06666666666666667
2016-08,ursnif,3,15,0.2
2016-08,zeus,4,15,0.26666666666666666
2016-09,lokibot,6,21,0.2857142857142857
2016-09,njrat,10,21,0.47619047619047616
2016-09,swisyn,2,21,0.09523809523809523
2016-09,ursnif,1,21,0.047619047619047616
2016-09,zeus,2,21,0.09523809523809523
2016-10,lokibot,5,23,0.21739130434782608
2016-10,njrat,5,23,0.21739130434782608
2016-10,swisyn,3,23,0.13043478260869565
2016-10,trickbot,2,23,0.08695652173913043
2016-10,ursnif,2,23,0.08695652173913043
2016-10,zeus,6,23,0.2608695652173913
2016-11,lokibot,2,21,0.09523809523809523
2016-11,njrat,5,21,0.23809523809523808
2016-11,swisyn,4,21,0.19047619047619047
2016-11,trickbot,4,21,0.19047619047619047
2016-11,ursnif,4,21,0.19047619047619047
2016-11,zeus,2,21,0.09523809523809523
2016-12,emotet,1,26,0.038461538461538464
2016-12,lokibot,2,26,0.07692307692307693
2016-12,njrat,10,26,0.38461538461538464
2016-12,swisyn,7,26,0.2692307692307692
2016-12,trickbot,1,26,0.038461538461538464
2016-12,ursnif,1,26,0.038461538461538464
2016-12,zeus,4,26,0.15384615384615385
2017-01,lokibot,3,22,0.13636363636363635
2017-01,njrat,13,22,0.5909090909090909
2017-01,swisyn,3,22,0.13636363636363635
2017-01,trickbot,1,22,0.045454545454545456
2017-01,zeus,2,22,0.09090909090909091
2017-02,adload,1,27,0.037037037037037035
2017-02,lokibot,8,27,0.2962962962962963
2017-02,njrat,11,27,0.4074074074074074
2017-02,swisyn,1,27,0.037037037037037035
2017-02,ursnif,2,27,0.07407407407407407
2017-02,zeus,4,27,0.14814814814814814
2017-03,lokibot,17,45,0.37777777777777777
2017-03,njrat,14,45,0.3111111111111111
2017-03,swisyn,6,45,0.13333333333333333
2017-03,ursnif,1,45,0.022222222222222223
2017-03,zeus,7,45,0.15555555555555556
2017-04,emotet,12,55,0.21818181818181817
2017-04,lokibot,9,55,0.16363636363636364
2017-04,njrat,16,55,0.2909090909090909
2017-04,swisyn,5,55,0.09090909090909091
2017-04,trickbot,6,55,0.10909090909090909
2017-04,ursnif,3,55,0.05454545454545454
2017-04,zeus,4,55,0.07272727272727272
2017-05,emotet,7,77,0.09090909090909091
2017-05,lokibot,22,77,0.2857142857142857
2017-05,njrat,22,77,0.2857142857142857
2017-05,swisyn,2,77,0.025974025974025976
2017-05,trickbot,6,77,0.07792207792207792
2017-05,ursnif,13,77,0.16883116883116883
2017-05,zeus,5,77,0.06493506493506493
2017-06,emotet,1,73,0.0136986301369863
2017-06,lokibot,18,73,0.2465753424657534
2017-06,njrat,10,73,0.136986301369863
2017-06,swisyn,4,73,0.0547945205479452
2017-06,trickbot,29,73,0.3972602739726027
2017-06,ursnif,9,73,0.1232876712328767
2017-06,zeus,2,73,0.0273972602739726
2017-07,emotet,18,84,0.21428571428571427
2017-07,lokibot,25,84,0.2976190476190476
2017-07,njrat,12,84,0.14285714285714285
2017-07,qakbot,1,84,0.011904761904761904
2017-07,swisyn,1,84,0.011904761904761904
2017-07,trickbot,21,84,0.25
2017-07,ursnif,6,84,0.07142857142857142
2017-08,emotet,63,157,0.4012738853503185
2017-08,lokibot,38,157,0.24203821656050956
2017-08,njrat,17,157,0.10828025477707007
2017-08,qakbot,8,157,0.050955414012738856
2017-08,swisyn,7,157,0.044585987261146494
2017-08,trickbot,15,157,0.09554140127388536
2017-08,ursnif,7,157,0.044585987261146494
2017-08,zeus,2,157,0.012738853503184714
2017-09,emotet,19,113,0.168141592920354
2017-09,lokibot,4,113,0.035398230088495575
2017-09,njrat,11,113,0.09734513274336283
2017-09,swisyn,6,113,0.05309734513274336
2017-09,trickbot,7,113,0.061946902654867256
2017-09,ursnif,4,113,0.035398230088495575
2017-09,zeus,62,113,0.5486725663716814
2017-10,emotet,70,377,0.1856763925729443
2017-10,lokibot,11,377,0.029177718832891247
2017-10,njrat,14,377,0.03713527851458886
2017-10,swisyn,5,377,0.013262599469496022
2017-10,trickbot,23,377,0.0610079575596817
2017-10,ursnif,12,377,0.03183023872679045
2017-10,zeus,242,377,0.6419098143236074
2017-11,emotet,29,328,0.08841463414634146
2017-11,lokibot,30,328,0.09146341463414634
2017-11,njrat,15,328,0.04573170731707317
2017-11,qakbot,24,328,0.07317073170731707
2017-11,swisyn,11,328,0.03353658536585366
2017-11,trickbot,17,328,0.051829268292682924
