year,family,n,year_total,family_share
2008,zeus,1,1,1.0
2011,zeus,15,15,1.0
2012,njrat,12,316,0.0379746835443038
2012,zeus,304,316,0.9620253164556962
2013,emotet,2,266,0.007518796992481203
2013,lokibot,1,266,0.0037593984962406013
2013,njrat,43,266,0.16165413533834586
2013,swisyn,1,266,0.0037593984962406013
2013,zeus,219,266,0.8233082706766918
2014,emotet,11,108,0.10185185185185185
2014,njrat,51,108,0.4722222222222222
2014,swisyn,1,108,0.009259259259259259
2014,ursnif,6,108,0.05555555555555555
2014,zeus,39,108,0.3611111111111111
2015,emotet,28,145,0.19310344827586207
2015,lokibot,5,145,0.034482758620689655
2015,njrat,39,145,0.2689655172413793
2015,swisyn,7,145,0.04827586206896552
2015,ursnif,22,145,0.15172413793103448
2015,zeus,44,145,0.30344827586206896
2016,emotet,1,218,0.0045871559633027525
2016,lokibot,18,218,0.08256880733944955
2016,njrat,66,218,0.30275229357798167
2016,swisyn,21,218,0.0963302752293578
2016,trickbot,7,218,0.03211009174311927
2016,ursnif,38,218,0.1743119266055046
2016,zeus,67,218,0.3073394495412844
2017,adload,1,1682,0.0005945303210463733
2017,emotet,250,1682,0.14863258026159334
2017,lokibot,199,1682,0.11831153388822829
2017,njrat,177,1682,0.10523186682520809
2017,qakbot,50,1682,0.029726516052318668
2017,swisyn,58,1682,0.034482758620689655
2017,trickbot,173,1682,0.1028537455410226
2017,ursnif,122,1682,0.07253269916765755
2017,zeus,652,1682,0.3876337693222354
2018,adload,90,17355,0.005185825410544511
2018,emotet,6126,17355,0.3529818496110631
2018,harhar,329,17355,0.01895707288965716
2018,lokibot,2129,17355,0.1226735811005474
2018,njrat,1372,17355,0.07905502736963411
2018,qakbot,1289,17355,0.07427254393546528
2018,swisyn,3229,17355,0.1860558916738692
2018,trickbot,1198,17355,0.06902909824258138
2018,ursnif,581,17355,0.03347738403918179
2018,zeus,1012,17355,0.05831172572745606
2019,adload,613,28848,0.02124930671103716
2019,emotet,8011,28848,0.27769689406544645
2019,harhar,326,28848,0.0113006100942873
2019,lokibot,1838,28848,0.0637132556849695
2019,njrat,1610,28848,0.05580976150859678
2019,qakbot,3555,28848,0.12323211314475874
2019,swisyn,9261,28848,0.32102745424292845
2019,trickbot,2823,28848,0.09785773710482529
2019,ursnif,573,28848,0.019862728785357737
2019,zeus,238,28848,0.008250138657792568
2020,lokibot,1,22,0.045454545454545456
2020,njrat,2,22,0.09090909090909091
2020,qakbot,1,22,0.045454545454545456
2020,swisyn,13,22,0.5909090909090909
2020,trickbot,1,22,0.045454545454545456
2020,ursnif,1,22,0.045454545454545456
2020,zeus,3,22,0.13636363636363635
